f1,f2,f3,f4
1,0,22.5,2956638
1,0,27.5,2175046
1,0,32.5,1580019
1,0,37.5,1320637
1,0,42.5,1327866
1,0,47.5,1334769
1,0,52.5,1214443
1,0,57.5,977820
1,0,62.5,739460
1,0,67.5,520965
1,0,72.5,320158
1,0,77.5,158750
1,0,82.5,63236
2,10,22.5,1128
2,10,27.5,634
2,10,32.5,389
2,10,37.5,313
2,10,42.5,364
2,10,47.5,410
2,10,52.5,325
2,10,57.5,227
2,10,62.5,141
2,10,67.5,104
2,10,72.5,63
2,10,77.5,39
2,10,82.5,22
3,11,22.5,904
3,11,27.5,545
3,11,32.5,270
3,11,37.5,283
3,11,42.5,241
3,11,47.5,298
3,11,52.5,280
3,11,57.5,218
3,11,62.5,168
3,11,67.5,138
3,11,72.5,124
3,11,77.5,33
3,11,82.5,27
4,30,22.5,1187
4,30,27.5,782
4,30,32.5,549
4,30,37.5,472
4,30,42.5,469
4,30,47.5,421
4,30,52.5,379
4,30,57.5,323
4,30,62.5,312
4,30,67.5,232
4,30,72.5,157
4,30,77.5,60
4,30,82.5,45
5,32,22.5,1792
5,32,27.5,1217
5,32,32.5,854
5,32,37.5,745
5,32,42.5,733
5,32,47.5,671
5,32,52.5,570
5,32,57.5,463
5,32,62.5,317
5,32,67.5,220
5,32,72.5,159
5,32,77.5,59
5,32,82.5,51
6,32,22.5,584
6,32,27.5,393
6,32,32.5,237
6,32,37.5,222
6,32,42.5,232
6,32,47.5,216
6,32,52.5,194
6,32,57.5,162
6,32,62.5,173
6,32,67.5,122
6,32,72.5,88
6,32,77.5,38
6,32,82.5,28
7,42,22.5,2188
7,42,27.5,1509
7,42,32.5,1065
7,42,37.5,1036
7,42,42.5,1051
7,42,47.5,951
7,42,52.5,820
7,42,57.5,637
7,42,62.5,511
7,42,67.5,408
7,42,72.5,247
7,42,77.5,122
7,42,82.5,84
8,45,22.5,1981
8,45,27.5,1203
8,45,32.5,719
8,45,37.5,574
8,45,42.5,644
8,45,47.5,709
8,45,52.5,637
8,45,57.5,458
8,45,62.5,282
8,45,67.5,157
8,45,72.5,155
8,45,77.5,122
8,45,82.5,75
9,50,22.5,1468
9,50,27.5,807
9,50,32.5,553
9,50,37.5,508
9,50,42.5,619
9,50,47.5,621
9,50,52.5,485
9,50,57.5,359
9,50,62.5,325
9,50,67.5,247
9,50,72.5,235
9,50,77.5,155
9,50,82.5,119
10,56,22.5,1543
10,56,27.5,777
10,56,32.5,464
10,56,37.5,499
10,56,42.5,617
10,56,47.5,898
10,56,52.5,460
10,56,57.5,373
10,56,62.5,244
10,56,67.5,174
10,56,72.5,97
10,56,77.5,41
10,56,82.5,51
11,60,22.5,2527
11,60,27.5,1443
11,60,32.5,816
11,60,37.5,747
11,60,42.5,902
11,60,47.5,944
11,60,52.5,810
11,60,57.5,607
11,60,62.5,475
11,60,67.5,381
11,60,72.5,249
11,60,77.5,146
11,60,82.5,60
12,65,22.5,1563
12,65,27.5,944
12,65,32.5,592
12,65,37.5,498
12,65,42.5,583
12,65,47.5,512
12,65,52.5,426
12,65,57.5,382
12,65,62.5,377
12,65,67.5,314
12,65,72.5,183
12,65,77.5,120
12,65,82.5,80
13,73,22.5,2796
13,73,27.5,1759
13,73,32.5,1302
13,73,37.5,1289
13,73,42.5,1401
13,73,47.5,1066
13,73,52.5,864
13,73,57.5,653
13,73,62.5,550
13,73,67.5,442
13,73,72.5,350
13,73,77.5,214
13,73,82.5,81
14,80,22.5,2477
14,80,27.5,1667
14,80,32.5,939
14,80,37.5,782
14,80,42.5,878
14,80,47.5,1028
14,80,52.5,1147
14,80,57.5,1030
14,80,62.5,589
14,80,67.5,348
14,80,72.5,223
14,80,77.5,113
14,80,82.5,86
15,100,22.5,1613
15,100,27.5,1042
15,100,32.5,638
15,100,37.5,510
15,100,42.5,624
15,100,47.5,628
15,100,52.5,513
15,100,57.5,405
15,100,62.5,326
15,100,67.5,252
15,100,72.5,169
15,100,77.5,107
15,100,82.5,68
16,110,22.5,1508
16,110,27.5,809
16,110,32.5,522
16,110,37.5,582
16,110,42.5,519
16,110,47.5,506
16,110,52.5,404
16,110,57.5,316
16,110,62.5,243
16,110,67.5,170
16,110,72.5,113
16,110,77.5,39
16,110,82.5,22
17,110,22.5,1044
17,110,27.5,639
17,110,32.5,363
17,110,37.5,390
17,110,42.5,392
17,110,47.5,408
17,110,52.5,295
17,110,57.5,238
17,110,62.5,205
17,110,67.5,116
17,110,72.5,101
17,110,77.5,41
17,110,82.5,17
18,123,22.5,1022
18,123,27.5,682
18,123,32.5,429
18,123,37.5,492
18,123,42.5,454
18,123,47.5,394
18,123,52.5,286
18,123,57.5,266
18,123,62.5,252
18,123,67.5,192
18,123,72.5,101
18,123,77.5,90
18,123,82.5,49
19,126,22.5,1616
19,126,27.5,897
19,126,32.5,516
19,126,37.5,485
19,126,42.5,588
19,126,47.5,555
19,126,52.5,474
19,126,57.5,411
19,126,62.5,345
19,126,67.5,285
19,126,72.5,184
19,126,77.5,104
19,126,82.5,48
20,256,22.5,2506
20,256,27.5,1455
20,256,32.5,923
20,256,37.5,796
20,256,42.5,929
20,256,47.5,853
20,256,52.5,708
20,256,57.5,510
20,256,62.5,392
20,256,67.5,275
20,256,72.5,202
20,256,77.5,111
20,256,82.5,42
21,256,22.5,1036
21,256,27.5,511
21,256,32.5,249
21,256,37.5,277
21,256,42.5,255
21,256,47.5,281
21,256,52.5,353
21,256,57.5,226
21,256,62.5,204
21,256,67.5,201
21,256,72.5,153
21,256,77.5,83
21,256,82.5,43
22,259,22.5,1425
22,259,27.5,773
22,259,32.5,468
22,259,37.5,379
22,259,42.5,457
22,259,47.5,439
22,259,52.5,403
22,259,57.5,374
22,259,62.5,346
22,259,67.5,237
22,259,72.5,143
22,259,77.5,75
22,259,82.5,61
23,307,22.5,733
23,307,27.5,398
23,307,32.5,202
23,307,37.5,213
23,307,42.5,272
23,307,47.5,292
23,307,52.5,239
23,307,57.5,154
23,307,62.5,169
23,307,67.5,140
23,307,72.5,85
23,307,77.5,32
23,307,82.5,24
24,307,22.5,1231
24,307,27.5,740
24,307,32.5,501
24,307,37.5,514
24,307,42.5,563
24,307,47.5,539
24,307,52.5,440
24,307,57.5,300
24,307,62.5,212
24,307,67.5,131
24,307,72.5,90
24,307,77.5,66
24,307,82.5,37
25,350,22.5,1024
25,350,27.5,551
25,350,32.5,346
25,350,37.5,291
25,350,42.5,351
25,350,47.5,334
25,350,52.5,259
25,350,57.5,204
25,350,62.5,143
25,350,67.5,176
25,350,72.5,122
25,350,77.5,55
25,350,82.5,56
26,398,22.5,745
26,398,27.5,380
26,398,32.5,269
26,398,37.5,218
26,398,42.5,250
26,398,47.5,327
26,398,52.5,294
26,398,57.5,224
26,398,62.5,167
26,398,67.5,103
26,398,72.5,60
26,398,77.5,19
26,398,82.5,13
27,406,22.5,1203
27,406,27.5,570
27,406,32.5,311
27,406,37.5,342
27,406,42.5,341
27,406,47.5,442
27,406,52.5,336
27,406,57.5,319
27,406,62.5,249
27,406,67.5,201
27,406,72.5,104
27,406,77.5,36
27,406,82.5,28
28,448,22.5,1164
28,448,27.5,592
28,448,32.5,379
28,448,37.5,374
28,448,42.5,415
28,448,47.5,364
28,448,52.5,339
28,448,57.5,287
28,448,62.5,220
28,448,67.5,169
28,448,72.5,140
28,448,77.5,86
28,448,82.5,22
29,467,22.5,1476
29,467,27.5,782
29,467,32.5,614
29,467,37.5,621
29,467,42.5,677
29,467,47.5,579
29,467,52.5,466
29,467,57.5,294
29,467,62.5,247
29,467,67.5,206
29,467,72.5,96
29,467,77.5,64
29,467,82.5,57
30,504,22.5,1348
30,504,27.5,696
30,504,32.5,546
30,504,37.5,514
30,504,42.5,637
30,504,47.5,549
30,504,52.5,445
30,504,57.5,371
30,504,62.5,294
30,504,67.5,201
30,504,72.5,104
30,504,77.5,80
30,504,82.5,58
31,520,22.5,1089
31,520,27.5,531
31,520,32.5,326
31,520,37.5,322
31,520,42.5,418
31,520,47.5,396
31,520,52.5,332
31,520,57.5,247
31,520,62.5,220
31,520,67.5,194
31,520,72.5,148
31,520,77.5,93
31,520,82.5,74
32,520,22.5,1161
32,520,27.5,778
32,520,32.5,450
32,520,37.5,420
32,520,42.5,419
32,520,47.5,430
32,520,52.5,362
32,520,57.5,279
32,520,62.5,207
32,520,67.5,166
32,520,72.5,129
32,520,77.5,43
32,520,82.5,26
33,529,22.5,2383
33,529,27.5,1446
33,529,32.5,859
33,529,37.5,855
33,529,42.5,892
33,529,47.5,847
33,529,52.5,691
33,529,57.5,550
33,529,62.5,373
33,529,67.5,295
33,529,72.5,145
33,529,77.5,67
33,529,82.5,51
34,538,22.5,1129
34,538,27.5,616
34,538,32.5,363
34,538,37.5,331
34,538,42.5,352
34,538,47.5,296
34,538,52.5,307
34,538,57.5,279
34,538,62.5,249
34,538,67.5,173
34,538,72.5,106
34,538,77.5,39
34,538,82.5,47
35,544,22.5,910
35,544,27.5,505
35,544,32.5,255
35,544,37.5,238
35,544,42.5,324
35,544,47.5,330
35,544,52.5,295
35,544,57.5,208
35,544,62.5,179
35,544,67.5,152
35,544,72.5,139
35,544,77.5,61
35,544,82.5,59
36,599,22.5,2158
36,599,27.5,1217
36,599,32.5,935
36,599,37.5,747
36,599,42.5,854
36,599,47.5,698
36,599,52.5,702
36,599,57.5,560
36,599,62.5,502
36,599,67.5,226
36,599,72.5,227
36,599,77.5,142
36,599,82.5,91
37,650,22.5,620
37,650,27.5,345
37,650,32.5,186
37,650,37.5,148
37,650,42.5,178
37,650,47.5,233
37,650,52.5,227
37,650,57.5,156
37,650,62.5,122
37,650,67.5,88
37,650,72.5,57
37,650,77.5,46
37,650,82.5,19
38,683,22.5,878
38,683,27.5,329
38,683,32.5,200
38,683,37.5,264
38,683,42.5,316
38,683,47.5,299
38,683,52.5,247
38,683,57.5,195
38,683,62.5,172
38,683,67.5,128
38,683,72.5,84
38,683,77.5,33
38,683,82.5,10
39,693,22.5,2567
39,693,27.5,1759
39,693,32.5,1537
39,693,37.5,1037
39,693,42.5,1057
39,693,47.5,1033
39,693,52.5,690
39,693,57.5,591
39,693,62.5,420
39,693,67.5,206
39,693,72.5,167
39,693,77.5,45
39,693,82.5,14
40,694,22.5,1817
40,694,27.5,1024
40,694,32.5,598
40,694,37.5,573
40,694,42.5,683
40,694,47.5,679
40,694,52.5,525
40,694,57.5,418
40,694,62.5,308
40,694,67.5,193
40,694,72.5,118
40,694,77.5,46
40,694,82.5,28
41,698,22.5,1085
41,698,27.5,617
41,698,32.5,390
41,698,37.5,361
41,698,42.5,395
41,698,47.5,339
41,698,52.5,337
41,698,57.5,275
41,698,62.5,195
41,698,67.5,167
41,698,72.5,102
41,698,77.5,37
41,698,82.5,10
42,717,22.5,1425
42,717,27.5,849
42,717,32.5,509
42,717,37.5,463
42,717,42.5,530
42,717,47.5,501
42,717,52.5,473
42,717,57.5,334
42,717,62.5,269
42,717,67.5,212
42,717,72.5,133
42,717,77.5,80
42,717,82.5,37
43,934,22.5,2085
43,934,27.5,1209
43,934,32.5,1087
43,934,37.5,745
43,934,42.5,693
43,934,47.5,739
43,934,52.5,616
43,934,57.5,513
43,934,62.5,342
43,934,67.5,154
43,934,72.5,87
43,934,77.5,30
43,934,82.5,41
