f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
n,y,n,y,y,y,n,n,n,y,,y,y,y,n,y
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,
,y,y,,y,y,n,n,n,n,y,n,y,y,n,n
n,y,y,n,,y,n,n,n,n,y,n,y,n,n,y
y,y,y,n,y,y,n,n,n,n,y,,y,y,y,y
n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y
n,y,n,y,y,y,n,n,n,n,n,n,,y,y,y
n,y,n,y,y,y,n,n,n,n,n,n,y,y,,y
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
y,y,y,n,n,n,y,y,y,n,n,n,n,n,,
n,y,n,y,y,n,n,n,n,n,,,y,y,n,n
n,y,n,y,y,y,n,n,n,n,y,,y,y,,
n,y,y,n,n,n,y,y,y,n,n,n,y,n,,
y,y,y,n,n,y,y,y,,y,y,,n,n,y,
n,y,n,y,y,y,n,n,n,n,n,y,,,n,
n,y,n,y,y,y,n,n,n,y,n,y,y,,n,
y,n,y,n,n,y,n,y,,y,y,y,,n,n,y
y,,y,n,n,n,y,y,y,n,n,n,y,n,y,y
n,y,n,y,y,y,n,n,n,n,n,,y,y,n,n
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
y,y,y,n,n,,y,y,n,n,y,n,n,n,y,y
y,y,y,n,n,n,y,y,y,n,n,n,,,y,y
y,,y,n,n,n,y,y,y,n,n,,n,n,y,y
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,
y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,
y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
y,,n,y,y,y,n,n,n,y,n,y,,y,n,y
y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y
y,y,y,n,n,n,y,y,y,n,,n,n,n,n,
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,
y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,
y,y,y,n,n,n,y,y,,n,y,n,n,n,y,
y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
y,n,y,n,n,n,y,y,,n,n,n,n,n,n,
y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y
n,,n,y,y,y,n,n,n,n,n,y,y,y,n,n
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
n,y,n,y,y,y,n,,n,n,n,y,y,y,n,y
y,y,y,n,n,n,y,y,y,n,n,n,n,n,,
y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
y,y,y,n,n,y,,y,n,n,y,y,n,y,n,
n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,
y,y,y,n,n,,y,y,y,y,n,n,n,n,y,
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,
y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
y,y,y,n,n,n,y,y,y,n,y,,n,n,n,y
y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
n,y,n,y,y,y,y,n,n,n,y,y,y,y,n,y
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
y,,y,n,n,n,y,y,y,n,n,n,y,n,y,y
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
y,n,y,n,n,n,y,y,y,n,n,n,y,n,y,
y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,
y,n,y,y,y,n,y,n,y,y,n,n,y,y,n,y
y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y
n,y,y,y,y,y,n,n,n,y,y,n,y,y,n,n
n,y,y,n,y,y,n,n,n,y,y,y,y,y,n,
n,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y
y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y
n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n
y,n,y,n,n,y,y,y,y,y,n,y,n,y,n,
y,n,y,n,n,n,y,y,,y,y,y,n,y,n,y
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
n,,n,y,y,y,n,n,n,y,n,y,y,y,n,n
n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
n,y,y,n,y,y,y,n,y,y,y,n,y,y,n,y
n,n,n,y,y,y,n,n,n,y,n,,y,y,n,
y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
y,y,y,n,n,n,y,y,n,y,y,n,n,,y,y
y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y
y,n,y,n,y,y,n,n,n,n,n,n,n,n,n,y
y,n,y,n,y,y,n,,,n,y,,,,y,y
n,n,,n,y,y,n,n,n,n,y,y,y,y,n,y
y,n,n,n,y,y,y,n,n,y,y,n,n,y,n,y
y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y
n,n,n,y,y,y,n,n,n,y,,y,y,y,n,n
y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y
y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y
y,n,y,n,y,y,y,n,,n,y,n,y,y,y,
y,n,n,n,y,y,,n,,n,n,n,n,y,,n
,,,,n,y,y,y,y,y,,n,y,y,n,
y,y,y,n,n,n,n,y,y,n,y,n,n,n,y,y
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
n,,,,,,,,,,,,,y,,
y,,y,n,n,n,y,y,y,n,n,n,n,n,y,
y,,y,n,n,n,y,y,y,n,n,n,n,n,y,
