f1,f2,f3,f4,f5,f6,f7,f8
33,33,262,307,1.1718,5.5683,5.7268,0.1585
34,34,259,306,1.1815,5.5568,5.7236,0.1668
35,35,257,306,1.1907,5.5491,5.7236,0.1745
36,36,262,306,1.1679,5.5683,5.7236,0.1553
37,37,264,306,1.1591,5.5759,5.7236,0.1477
38,38,268,313,1.1679,5.591,5.7462,0.1552
39,39,276,319,1.1558,5.6204,5.7652,0.1448
40,40,283,324,1.1449,5.6454,5.7807,0.1353
41,41,290,332,1.1448,5.6699,5.8051,0.1352
42,42,286,320,1.1189,5.656,5.7683,0.1123
43,43,288,320,1.1111,5.663,5.7683,0.1053
44,44,286,314,1.0979,5.656,5.7494,0.0934
45,45,279,306,1.0968,5.6312,5.7236,0.0924
46,46,279,307,1.1004,5.6312,5.7268,0.0956
47,47,280,308,1.1,5.6348,5.7301,0.0953
48,48,321,358,1.1153,5.7714,5.8805,0.1091
49,49,328,358,1.0915,5.793,5.8805,0.0875
50,50,334,360,1.0778,5.8111,5.8861,0.075
2,54,332,360,1.0843,5.8051,5.8861,0.081
3,55,332,362,1.0904,5.8051,5.8916,0.0865
4,56,326,361,1.1074,5.7869,5.8889,0.102
5,57,322,359,1.1149,5.7746,5.8833,0.1087
6,58,324,359,1.108,5.7807,5.8833,0.1026
7,59,322,359,1.1149,5.7746,5.8833,0.1087
8,60,316,357,1.1297,5.7557,5.8777,0.122
9,61,314,357,1.1369,5.7494,5.8777,0.1283
10,62,316,357,1.1297,5.7557,5.8777,0.122
11,63,316,357,1.1297,5.7557,5.8777,0.122
12,64,315,357,1.1333,5.7526,5.8777,0.1251
13,65,314,356,1.1338,5.7494,5.8749,0.1255
16,68,313,354,1.131,5.7462,5.8693,0.1231
17,69,312,354,1.1346,5.743,5.8693,0.1263
18,70,307,354,1.1531,5.7268,5.8693,0.1425
19,71,305,354,1.1607,5.7203,5.8693,0.149
20,72,305,354,1.1607,5.7203,5.8693,0.149
21,73,299,354,1.1839,5.7004,5.8693,0.1689
