f1,f2,f3,f4
Cool,Rock,Vodka,7UP/Sprite
Neutral,Hip hop,Vodka,Coca Cola/Pepsi
Warm,Rock,Wine,Coca Cola/Pepsi
Warm,Folk/Traditional,Whiskey,Fanta
Cool,Rock,Vodka,Coca Cola/Pepsi
Warm,Jazz/Blues,Doesn't drink,Fanta
Cool,Pop,Beer,Coca Cola/Pepsi
Warm,Pop,Whiskey,Fanta
Warm,Rock,Other,7UP/Sprite
Neutral,Pop,Wine,Coca Cola/Pepsi
Cool,Pop,Other,7UP/Sprite
Warm,Pop,Other,7UP/Sprite
Warm,Pop,Wine,7UP/Sprite
Warm,Electronic,Wine,Coca Cola/Pepsi
Cool,Rock,Beer,Coca Cola/Pepsi
Warm,Jazz/Blues,Wine,Coca Cola/Pepsi
Cool,Pop,Wine,7UP/Sprite
Cool,Rock,Other,Coca Cola/Pepsi
Cool,Rock,Other,Coca Cola/Pepsi
Cool,Pop,Doesn't drink,7UP/Sprite
Cool,Pop,Beer,Fanta
Warm,Jazz/Blues,Whiskey,Fanta
Cool,Rock,Vodka,Coca Cola/Pepsi
Warm,Pop,Other,Coca Cola/Pepsi
Cool,Folk/Traditional,Whiskey,7UP/Sprite
Warm,R&B and soul,Whiskey,Coca Cola/Pepsi
Cool,Pop,Beer,Other
Cool,Pop,Doesn't drink,Other
Cool,Pop,Doesn't drink,Coca Cola/Pepsi
Cool,Electronic,Doesn't drink,Fanta
Warm,Rock,Other,Coca Cola/Pepsi
Neutral,Rock,Beer,Coca Cola/Pepsi
Cool,R&B and soul,Beer,Coca Cola/Pepsi
Warm,R&B and soul,Wine,Other
Neutral,Hip hop,Beer,7UP/Sprite
Warm,Electronic,Other,Coca Cola/Pepsi
Neutral,Rock,Doesn't drink,Coca Cola/Pepsi
Cool,Pop,Other,Fanta
Cool,Pop,Whiskey,Fanta
Warm,Rock,Vodka,7UP/Sprite
Cool,Rock,Vodka,Coca Cola/Pepsi
Neutral,Pop,Doesn't drink,7UP/Sprite
Warm,R&B and soul,Doesn't drink,Coca Cola/Pepsi
Cool,Rock,Wine,7UP/Sprite
Cool,Folk/Traditional,Beer,Other
Cool,Hip hop,Beer,Coca Cola/Pepsi
Cool,Hip hop,Wine,Coca Cola/Pepsi
Cool,R&B and soul,Whiskey,7UP/Sprite
Cool,Rock,Doesn't drink,Other
Warm,Hip hop,Beer,Coca Cola/Pepsi
Cool,R&B and soul,Doesn't drink,Coca Cola/Pepsi
Cool,Rock,Doesn't drink,Coca Cola/Pepsi
Cool,Hip hop,Doesn't drink,Other
Warm,Rock,Beer,Fanta
Cool,Electronic,Doesn't drink,Fanta
Cool,Electronic,Other,Fanta
Warm,Folk/Traditional,Other,Fanta
Warm,Electronic,Vodka,Fanta
Warm,Jazz/Blues,Vodka,Coca Cola/Pepsi
Cool,Pop,Whiskey,Other
Cool,Electronic,Whiskey,Coca Cola/Pepsi
Cool,Rock,Vodka,Coca Cola/Pepsi
Cool,Hip hop,Beer,Coca Cola/Pepsi
Neutral,Hip hop,Doesn't drink,Fanta
Cool,Rock,Wine,Coca Cola/Pepsi
Cool,Electronic,Beer,Coca Cola/Pepsi
